City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,aswan,24.0934,32.907,64.11,34,99,8.39,EG,1668726846
265,yaan,7.3833,8.5667,78.75,48,74,5.75,NG,1668726847
266,plettenberg bay,-34.0527,23.3716,57.81,80,100,2.57,ZA,1668726848
267,nhulunbuy,-12.2333,136.7667,84.81,79,87,2.3,AU,1668726849
268,broome,42.2506,-75.833,33.89,76,100,10.36,US,1668726850
269,collie,-33.3667,116.15,49.75,87,99,8.75,AU,1668726850
270,katsuura,35.1333,140.3,50.02,66,100,10.74,JP,1668726851
271,teresina,-5.0892,-42.8019,83.91,70,0,0.0,BR,1668726612
272,comodoro rivadavia,-45.8667,-67.5,76.86,27,0,18.41,AR,1668726852
273,la asuncion,11.0333,-63.8628,79.21,83,90,14.34,VE,1668726852
274,ust-tsilma,65.441,52.1498,19.56,93,95,12.17,RU,1668726853
275,dingle,10.9995,122.6711,76.68,94,100,8.81,PH,1668726853
276,mpanda,-6.3655,31.0409,65.97,93,93,2.91,TZ,1668726854
277,prince rupert,54.3161,-130.3201,43.86,51,11,3.76,CA,1668726854
278,srednekolymsk,67.45,153.6833,-21.53,95,89,11.56,RU,1668726855
279,richards bay,-28.783,32.0377,71.76,95,100,2.42,ZA,1668726815
280,san vicente,-26.6167,-54.1333,63.03,73,0,3.49,AR,1668726856
281,alyangula,-13.8483,136.4192,86.23,55,99,2.53,AU,1668726856
282,port alfred,-33.5906,26.891,63.18,94,100,1.01,ZA,1668726750
283,mahibadhoo,3.7833,72.9667,81.19,75,92,15.32,MV,1668726857
284,synya,65.3718,58.0387,8.01,94,100,14.56,RU,1668726858
285,ternate,0.8,127.4,82.44,77,100,3.09,ID,1668726858
286,boo,59.3333,18.2833,39.76,100,75,6.91,SE,1668726795
287,georgetown,5.4112,100.3354,82.24,91,20,0.0,MY,1668726578
288,deputatskiy,69.3,139.9,-27.85,99,24,2.13,RU,1668726859
289,berlevag,70.8578,29.0864,40.95,75,100,2.3,NO,1668726860
290,hurghada,27.2574,33.8129,67.68,46,100,11.07,EG,1668726662
291,san quintin,30.4833,-115.95,66.72,32,97,8.39,MX,1668726861
292,ishigaki,24.3448,124.1572,77.61,80,0,4.43,JP,1668726861
293,alanya,36.5438,31.9998,59.13,68,48,5.46,TR,1668726862
294,takoradi,4.8845,-1.7554,78.31,83,78,7.92,GH,1668726863
295,alugan,12.2188,125.4808,80.15,86,100,12.08,PH,1668726863
296,pouebo,-20.4,164.5667,82.62,58,96,2.64,NC,1668726864
297,forestville,38.8451,-76.875,39.38,57,20,14.97,US,1668726865
298,roebourne,-20.7833,117.1333,69.93,49,0,16.31,AU,1668726865
299,lucapa,-8.4192,20.7447,63.64,99,42,2.13,AO,1668726866
300,petropavlovsk-kamchatskiy,53.0452,158.6483,12.79,62,0,6.71,RU,1668726866
301,launceston,-41.45,147.1667,62.62,60,6,5.75,AU,1668726867
302,nuuk,64.1835,-51.7216,23.61,80,75,15.01,GL,1668726867
303,yerofey pavlovich,53.9667,121.9667,1.94,98,62,2.3,RU,1668726868
